Labels,Tumor in region
void,52.44075859075659
frontal pole,2.7256843536549673
insular cortex,2.24523295578302
superior frontal gyrus,1.4675827249012103
middle frontal gyrus,1.7785235866458047
"inferior frontal gyrus, pars triangularis",0.2880147201970935
"inferior frontal gyrus, pars opercularis",0.5848141022286271
precentral gyrus,3.1191729264873294
temporal pole,2.6437526832533895
"superior temporal gyrus, anterior division",0.3943331074646388
"superior temporal gyrus, posterior division",1.23535357390338
"middle temporal gyrus, anterior division",0.5702654302929461
"middle temporal gyrus, posterior division",1.7508926245842598
"middle temporal gyrus, temporooccipital part",1.040372021494938
"inferior temporal gyrus, anterior division",0.30734427291772226
"inferior temporal gyrus, posterior division",0.9254934234202464
"inferior temporal gyrus, temporooccipital part",0.597602171244572
postcentral gyrus,2.460916656502559
superior parietal lobule,1.2077159226702967
"supramarginal gyrus, anterior division",0.6808746690489844
"supramarginal gyrus, posterior division",1.0255057399272778
angular gyrus,1.2115294475443266
"lateral occipital cortex, superior division",2.8577365329347773
"lateral occipital cortex, inferior division",0.9743967466853007
intracalcarine cortex,0.2930945925662476
frontal medial cortex,0.17657357446247085
juxtapositional lobule cortex,0.4044276989768214
subcallosal cortex,0.34999735858049424
paracingulate gyrus,0.9960203857623353
"cingulate gyrus, anterior division",1.2007294860610114
"cingulate gyrus, posterior division",0.7546835880622329
precuneous cortex,1.6365557999024565
cuneal cortex,0.2278343906315888
frontal oribtal cortex,0.9123384923240604
"parahippocampal gyrus, anterior division",0.46678614918833716
"parahippocampal gyrus, posterior division",0.28592421679125607
lingual gyrus,0.5168621826287925
"temporal fusiform cortex, anterior division",0.2738679058534672
"temporal fusiform cortex, posterior division",0.7994119280642861
temporal occipital fusiform cortex,0.4258680319923926
occipital fusiform gyrus,0.20122681608425708
frontal operculum cortex,0.44743996282115145
central opercular cortex,1.6523601464855875
parietal operculum cortex,0.9481777982209649
planum polare,0.800302217363136
heschls gyrus,0.6135670286633649
planum temporale,0.7691458330745793
supracalcarine cortex,0.04751968780208992
occipital pole,0.2654157430923146
