Labels,Tumor in region
void,2.098545252512759
left cerebral white matter,23.995568711218482
left cerebral cortex,24.250629224776926
left lateral ventrical,0.8248603126410144
left thalamus,0.6288422978191278
left caudate,0.27616802562552356
left putamen,0.6561420443738064
left pallidum,0.18119953187968038
brain-stem,0.2917613786661875
left hippocampus,0.6277991512774798
left amygdala,0.2469618818102637
left accumbens,0.042543348127214095
right cerebral white matter,22.706008289109015
right cerebral cortex,19.53009424355482
right lateral ventricle,0.8225262963904091
right thalamus,0.7993631843006894
right caudate,0.33261653970760036
right putamen,0.6485872567675361
right pallidum,0.18805656900273038
right hippocampus,0.5528752465734551
right amygdala,0.2641605500478496
right accumbens,0.03469066381738286
