Labels,Tumor in region
void,53.01621912165901
frontal pole,0.848995602406285
insular cortex,3.041649413921175
superior frontal gyrus,0.6180176187483902
middle frontal gyrus,0.017109280423942917
"inferior frontal gyrus, pars triangularis",0.22575042805187898
"inferior frontal gyrus, pars opercularis",0.3800254156801556
precentral gyrus,2.6427711734057295
temporal pole,1.0521066577713118
"superior temporal gyrus, anterior division",0.10020807924299537
"superior temporal gyrus, posterior division",0.30513588753736837
"middle temporal gyrus, anterior division",0.05061365837227875
"middle temporal gyrus, posterior division",1.4435828871434
"middle temporal gyrus, temporooccipital part",0.0944941540924
"inferior temporal gyrus, anterior division",0.0573660056418677
"inferior temporal gyrus, posterior division",4.134062980293934
"inferior temporal gyrus, temporooccipital part",0.0
postcentral gyrus,2.3365585647676017
superior parietal lobule,0.045897190293741875
"supramarginal gyrus, anterior division",1.2928173418292144
"supramarginal gyrus, posterior division",0.23161201682881227
angular gyrus,0.4435448678050179
"lateral occipital cortex, superior division",2.523749111108747
"lateral occipital cortex, inferior division",0.0
intracalcarine cortex,0.023340123187351458
frontal medial cortex,0.2065004314395298
juxtapositional lobule cortex,0.5489027928918206
subcallosal cortex,1.2040876050237959
paracingulate gyrus,3.638788664702202
"cingulate gyrus, anterior division",3.0517674519916356
"cingulate gyrus, posterior division",1.9241761165899762
precuneous cortex,3.300159906063554
cuneal cortex,0.3257902500298371
frontal oribtal cortex,1.7217566906373782
"parahippocampal gyrus, anterior division",0.24760950962943187
"parahippocampal gyrus, posterior division",0.039418675892889166
lingual gyrus,0.7124949510131283
"temporal fusiform cortex, anterior division",0.06531835065873043
"temporal fusiform cortex, posterior division",0.0742404323785102
temporal occipital fusiform cortex,0.0
occipital fusiform gyrus,0.0
frontal operculum cortex,0.7519300219934921
central opercular cortex,3.024713339295569
parietal operculum cortex,0.4600942509295237
planum polare,0.4752690959310131
heschls gyrus,0.6099956368472215
planum temporale,0.5829540815614445
supracalcarine cortex,0.7123189599113208
occipital pole,1.39608520437536
